R_SFIPS,R_CFIPS,R_SC_FIPS,E_SFIPS,E_CFIPS,E_SC_FIPS,Number,MOE,Res_Sta,Res_Cnty,Emp_Sta,Emp_Cnty
1,3,1003,34,31,34031,29,33,Alabama,Baldwin County,New Jersey,Passaic County
1,3,1003,36,59,36059,18,29,Alabama,Baldwin County,New York,Nassau County
1,21,1021,34,39,34039,4,6,Alabama,Chilton County,New Jersey,Union County
1,31,1031,34,13,34013,4,6,Alabama,Coffee County,New Jersey,Essex County
1,45,1045,36,71,36071,13,20,Alabama,Dale County,New York,Orange County
1,47,1047,34,3,34003,11,19,Alabama,Dallas County,New Jersey,Bergen County
1,51,1051,34,39,34039,3,5,Alabama,Elmore County,New Jersey,Union County
1,69,1069,36,81,36081,3,4,Alabama,Houston County,New York,Queens County
1,73,1073,34,21,34021,31,34,Alabama,Jefferson County,New Jersey,Mercer County
1,73,1073,36,61,36061,11,17,Alabama,Jefferson County,New York,New York County
1,73,1073,36,119,36119,12,21,Alabama,Jefferson County,New York,Westchester County
1,81,1081,36,61,36061,5,9,Alabama,Lee County,New York,New York County
1,85,1085,36,5,36005,16,25,Alabama,Lowndes County,New York,Bronx County
1,87,1087,36,59,36059,20,35,Alabama,Macon County,New York,Nassau County
1,89,1089,9,1,9001,9,14,Alabama,Madison County,Connecticut,Fairfield County
1,89,1089,34,3,34003,20,25,Alabama,Madison County,New Jersey,Bergen County
1,89,1089,34,21,34021,19,29,Alabama,Madison County,New Jersey,Mercer County
1,89,1089,34,25,34025,10,16,Alabama,Madison County,New Jersey,Monmouth County
1,89,1089,34,35,34035,15,23,Alabama,Madison County,New Jersey,Somerset County
1,89,1089,36,61,36061,10,22,Alabama,Madison County,New York,New York County
1,97,1097,34,13,34013,14,22,Alabama,Mobile County,New Jersey,Essex County
1,97,1097,34,19,34019,12,20,Alabama,Mobile County,New Jersey,Hunterdon County
1,97,1097,36,61,36061,21,24,Alabama,Mobile County,New York,New York County
1,101,1101,34,19,34019,15,25,Alabama,Montgomery County,New Jersey,Hunterdon County
1,109,1109,34,23,34023,5,5,Alabama,Pike County,New Jersey,Middlesex County
1,109,1109,36,61,36061,14,21,Alabama,Pike County,New York,New York County
1,115,1115,34,13,34013,18,31,Alabama,St. Clair County,New Jersey,Essex County
1,117,1117,9,9,9009,44,31,Alabama,Shelby County,Connecticut,New Haven County
1,117,1117,36,61,36061,18,28,Alabama,Shelby County,New York,New York County
2,20,2020,36,119,36119,24,36,Alaska,Anchorage Municipality,New York,Westchester County
2,122,2122,34,17,34017,3,5,Alaska,Kenai Peninsula Borough,New Jersey,Hudson County
4,12,4012,36,61,36061,7,11,Arizona,La Paz County,New York,New York County
4,13,4013,9,1,9001,29,34,Arizona,Maricopa County,Connecticut,Fairfield County
4,13,4013,34,3,34003,9,14,Arizona,Maricopa County,New Jersey,Bergen County
4,13,4013,34,13,34013,43,39,Arizona,Maricopa County,New Jersey,Essex County
4,13,4013,34,17,34017,31,50,Arizona,Maricopa County,New Jersey,Hudson County
4,13,4013,34,23,34023,43,69,Arizona,Maricopa County,New Jersey,Middlesex County
4,13,4013,34,35,34035,12,19,Arizona,Maricopa County,New Jersey,Somerset County
